id,type,year,grade
152, 1: HALF PENNY, 1956, N/A
153, 1: HALF PENNY, 1967, N/A
154, 1: HALF PENNY, 1967, N/A
155, 1: HALF PENNY, 1967, N/A
156, 1: HALF PENNY, 1948, N/A
157, 1: HALF PENNY, 1939, N/A
158, 1: HALF PENNY, 1944, N/A
159, 1: HALF PENNY, 1945, N/A
160, 1: HALF PENNY, 1967, N/A
161, 1: HALF PENNY, 1960, N/A
162, 1: HALF PENNY, 1946, N/A
163, 1: HALF PENNY, 1959, N/A
164, 1: HALF PENNY, 1958, N/A
165, 1: HALF PENNY, 1943, N/A
166, 1: HALF PENNY, 1959, N/A
167, 1: HALF PENNY, 1965, N/A
168, 1: HALF PENNY, 1965, N/A
169, 1: HALF PENNY, 1945, N/A
170, 1: HALF PENNY, 1960, N/A
171, 1: HALF PENNY, 1963, N/A
172, 1: HALF PENNY, 1938, N/A
173, 1: HALF PENNY, 1948, N/A
174, 1: HALF PENNY, 1960, N/A
175, 1: HALF PENNY, 1944, N/A
176, 1: HALF PENNY, 1957, N/A
177, 1: HALF PENNY, 1962, N/A
178, 0: ONE PENNY, 1962, N/A
179, 0: ONE PENNY, 1964, N/A
180, 0: ONE PENNY, 1965, N/A
181, 0: ONE PENNY, 1921, N/A
182, 0: ONE PENNY, 1938, N/A
183, 0: ONE PENNY, 1967, N/A
184, 0: ONE PENNY, 1967, N/A
185, 0: ONE PENNY, 1967, N/A
186, 0: ONE PENNY, 1967, N/A
187, 0: ONE PENNY, 1963, N/A
188, 0: ONE PENNY, 1944, N/A
189, 0: ONE PENNY, 1967, N/A
190, 0: ONE PENNY, 1967, N/A
191, 0: ONE PENNY, 1947, N/A
192, 0: ONE PENNY, 1966, N/A
193, 0: ONE PENNY, 1916, N/A
194, 1: HALF PENNY, 1964, N/A
195, 1: HALF PENNY, 1966, N/A
196, 1: HALF PENNY, 1950, N/A
197, 1: HALF PENNY, 1941, N/A
198, 1: HALF PENNY, 1944, N/A
199, 0: ONE PENNY, 1967, N/A
200, 0: ONE PENNY, 1920, N/A
201, 0: ONE PENNY, 1967, N/A
202, 0: ONE PENNY, 1947, N/A
203, 0: ONE PENNY, 1967, N/A
204, 0: ONE PENNY, 1935, N/A
205, 0: ONE PENNY, 1919, N/A
206, 0: ONE PENNY, 1913, N/A
207, 0: ONE PENNY, 1917, N/A
208, 0: ONE PENNY, 1913, N/A
209, 0: ONE PENNY, 1915, N/A
210, 0: ONE PENNY, 1919, N/A
211, 0: ONE PENNY, 1919, N/A
212, 0: ONE PENNY, 1914, N/A
213, 0: ONE PENNY, 1911, N/A
214, 0: ONE PENNY, 1915, N/A
215, 0: ONE PENNY, 1913, N/A
216, 0: ONE PENNY, 1916, N/A
217, 0: ONE PENNY, 1919, N/A
