id,type_id,type,year,grade,Year  ,F,VF,EF,"",Unc,_c6,_c7
121,0,ONE PENNY,1937,N/A,1937,proof,"","","",15,,
121,0,ONE PENNY,1937,N/A,1937,"","","","",4,,
137,0,ONE PENNY,1967,N/A,1967,,,,,,,
138,0,ONE PENNY,1940,N/A,1940,"","",8,"",25,,
139,0,ONE PENNY,1964,N/A,1964,,,,,,,
140,0,ONE PENNY,1963,N/A,1963,,,,,,,
141,0,ONE PENNY,1945,N/A,1945,"","","","",8,,
142,0,ONE PENNY,1948,N/A,1948,"","","","",5,,
143,0,ONE PENNY,1967,N/A,1967,,,,,,,
144,0,ONE PENNY,1946,N/A,1946,"","","","",8,,
145,0,ONE PENNY,1964,N/A,1964,,,,,,,
178,0,ONE PENNY,1962,N/A,1962,,,,,,,
179,0,ONE PENNY,1964,N/A,1964,,,,,,,
180,0,ONE PENNY,1965,N/A,1965,,,,,,,
181,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
182,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
183,0,ONE PENNY,1967,N/A,1967,,,,,,,
184,0,ONE PENNY,1967,N/A,1967,,,,,,,
185,0,ONE PENNY,1967,N/A,1967,,,,,,,
186,0,ONE PENNY,1967,N/A,1967,,,,,,,
187,0,ONE PENNY,1963,N/A,1963,,,,,,,
188,0,ONE PENNY,1944,N/A,1944,"","","","",8,,
189,0,ONE PENNY,1967,N/A,1967,,,,,,,
190,0,ONE PENNY,1967,N/A,1967,,,,,,,
191,0,ONE PENNY,1947,N/A,1947,"","","","",5,,
192,0,ONE PENNY,1966,N/A,1966,,,,,,,
193,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
199,0,ONE PENNY,1967,N/A,1967,,,,,,,
200,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
201,0,ONE PENNY,1967,N/A,1967,,,,,,,
202,0,ONE PENNY,1947,N/A,1947,"","","","",5,,
203,0,ONE PENNY,1967,N/A,1967,,,,,,,
204,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
205,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
205,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
205,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
206,0,ONE PENNY,1913,N/A,1913,"",3,15,"",75,,
207,0,ONE PENNY,1917,N/A,1917,"",3,15,"",60,,
208,0,ONE PENNY,1913,N/A,1913,"",3,15,"",75,,
209,0,ONE PENNY,1915,N/A,1915,"",3,20,"",85,,
210,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
210,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
210,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
211,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
211,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
211,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
212,0,ONE PENNY,1914,N/A,1914,"",3,18,"",80,,
213,0,ONE PENNY,1911,N/A,1911,"",3,12,"",65,,
214,0,ONE PENNY,1915,N/A,1915,"",3,20,"",85,,
215,0,ONE PENNY,1913,N/A,1913,"",3,15,"",75,,
216,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
217,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
217,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
217,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
218,0,ONE PENNY,1946,N/A,1946,"","","","",8,,
219,0,ONE PENNY,1917,N/A,1917,"",3,15,"",60,,
220,0,ONE PENNY,1917,N/A,1917,"",3,15,"",60,,
221,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
222,0,ONE PENNY,1913,N/A,1913,"",3,15,"",75,,
223,0,ONE PENNY,1917,N/A,1917,"",3,15,"",60,,
224,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
225,0,ONE PENNY,1912,N/A,1912,"",4,40,"",250,,
225,0,ONE PENNY,1912,N/A,1912,"",3,12,"",60,,
226,0,ONE PENNY,1914,N/A,1914,"",3,18,"",80,,
227,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
228,0,ONE PENNY,1911,N/A,1911,"",3,12,"",65,,
229,0,ONE PENNY,1912,N/A,1912,"",4,40,"",250,,
229,0,ONE PENNY,1912,N/A,1912,"",3,12,"",60,,
230,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
231,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
231,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
231,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
232,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
233,0,ONE PENNY,1918,N/A,1918,8,80,600,"",2500,,
233,0,ONE PENNY,1918,N/A,1918,1,15,150,"",600,,
233,0,ONE PENNY,1918,N/A,1918,"",3,12,"",55,,
234,0,ONE PENNY,1903,N/A,1903,"",3,15,"",90,,
235,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
235,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
235,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
236,0,ONE PENNY,1915,N/A,1915,"",3,20,"",85,,
